unique_neighbourhoods,exposure_score,rising_star,regulations
Nueva Córdoba,3,Yes,Yes
Palermo,4,Yes,Yes
Palermo Hollywood,4,Yes,Yes
Pasing - Obermenzing,2,No,Yes
Pedralbes,3,No,Yes
Playa del Inglés,4,Yes,Yes
Polanco,4,Yes,Yes
Porta,4,Yes,Yes
Prati,4,Yes,Yes
Provençals del Poblenou,4,Yes,Yes
Quesada,4,Yes,Yes
RB of Kingston upon Thames,3,Yes,Yes
Recoletos,4,Yes,Yes
Sant Andreu de Palomar,3,Yes,Yes
Sant Antoni,4,Yes,Yes
Sant Genís dels Agudells,3,No,Yes
Sant Gervasi - Galvany,3,Yes,Yes
Sant Gervasi - la Bonanova,3,Yes,Yes
Sant Martí de Provençals,3,Yes,Yes
Santa Catarina,4,Yes,Yes
Sants-Montjuïc,4,Yes,Yes
Sarrià,3,No,Yes
Sarrià-Sant Gervasi,4,Yes,Yes
South Columbus,3,Yes,Yes
St Martí,4,Yes,Yes
Sunset Beach,4,Yes,Yes
São Cristóvão e São Lourenço,3,No,Yes
Torre Baró,3,No,Yes
Trastevere,4,Yes,Yes
Trieste,3,Yes,Yes
Turó de la Peira - Can Peguera,3,No,Yes
Urbanització Bassetes,3,Yes,Yes
Urbanización Alfa Mar,3,Yes,Yes
Urbanización Doña Lola,3,Yes,Yes
Urbanización Princesa Kristina,3,Yes,Yes
Urbanización la Almedia,4,Yes,Yes
Vallcarca i els Penitents,4,Yes,Yes
Verdum - Los Roquetes,3,Yes,Yes
Vila de Gràcia,4,Yes,Yes
Vilapicina i la Torre Llobeta,2,No,Yes
Villa Crespo,3,Yes,Yes
Wimbledon,3,Yes,Yes
Zona 5,4,Yes,Yes
Zona 9,3,No,Yes
el Fort Pienc,3,Yes,Yes
la Sagrada Familia,4,Yes,Yes
la Sagrada Família,4,Yes,Yes
